"","dt.tmp","P","ET","SWE_change","SM_change","inflow","CV_out_km3_mn","cum_gws"
"64",2007-07-15,0.146230550925888,2.53432314727557,0,-0.384179575818703,2.614881389,1.60062782524416,-17.3782676616492
"65",2007-08-15,0.00959865940024736,2.39354950188531,0,-0.209893072810399,2.086181024,1.4365778651136,-18.9027222724375
"66",2007-09-15,0.295308992944195,1.95949180772725,0,-0.0826698633953225,1.50613582,1.23312342408192,-20.2112228279071
"67",2007-10-15,0.901171365012551,1.70013658404911,0,0.14314723348442,1.144523889,0.9488171340288,-20.9576285254569
"68",2007-11-15,0.378700706390102,1.14256875465846,0,0.129970018228294,0.983469639,0.88144589408256,-21.7494428470361
"69",2007-12-15,2.71753639501154,0.796178855449467,9.06595762423e-07,1.10688253617499,0.9354811,1.06299618029568,-21.0624838305405
"70",2008-01-15,5.91749265102535,0.877530260578078,8.24750013622481e-05,3.0121088814069,1.465305165,2.03497745347584,-19.6043850849773
"71",2008-02-15,2.42671908308212,1.28445222903912,1.904387548285e-06,2.36075171044482,1.539596432,2.17139094171648,-21.4546663554831
"72",2008-03-15,0.106947166555472,2.07088998570589,0,-1.23381643406186,1.184068025,1.29048329336832,-22.29120800894
"73",2008-04-15,0.108922618712311,2.29616434992092,0,-2.45744657103208,1.564184622,1.00999854802944,-21.466817095146
"74",2008-05-15,0.155367553685639,2.44820358036136,0,-1.42853395417274,1.892314972,0.95988297701376,-21.3986871726627
"75",2008-06-15,0.00088090482337056,2.64303292565794,0,-0.760638916394671,2.106831946,0.97506395329536,-22.148432284398
"76",2008-07-15,0,2.65693822963802,0,-0.475417579094593,2.146125685,1.08458472738816,-23.2684119773296
"77",2008-08-15,0,2.51933703429382,0,-0.234286913689763,1.672725928,0.94886851203072,-24.8296046819644
"78",2008-09-15,0,2.11423129942427,0,-0.112349083130354,1.156653932,0.86933291848704,-26.5441658847453
"79",2008-10-15,0.48172478143419,1.81417376022851,0,0.0190794002102415,1.074770595,0.70818703875072,-27.5291107075006
"80",2008-11-15,1.74969455259451,1.17044150602495,0,0.871186048726274,0.794923587,0.82390987164672,-27.850029994304
"81",2008-12-15,1.94363043577373,0.753077347837364,0.00329832509662704,0.584376800255562,0.740023859,0.78386438900736,-27.2909925617272
"82",2009-01-15,1.60914183669063,0.913624483906358,4.93492260318641e-05,1.04754525064065,0.713615052,0.80921331652608,-27.7386680733357
"83",2009-02-15,4.83534943974313,1.22668235190605,3.15664842637361e-05,1.78293372073684,1.237702202,1.61491335634944,-26.2901774270692
"84",2009-03-15,1.46807374142716,2.10052129989087,0,1.1717399346993,1.479574062,1.9856741442048,-28.600465002437
"85",2009-04-15,0.58377592365551,2.36030851111098,0,-2.2150136333056,1.666944608,1.19698756273152,-27.6920269113184
"86",2009-05-15,0.956091933143879,2.61401670569228,0,-1.23217056106391,2.367811644,1.52309842034688,-27.2730678991498
"87",2009-06-15,0.470470743993829,2.57172596702986,0,-0.99840911595977,2.095133621,1.03404589949952,-27.3148262847255
"88",2009-07-15,0,2.71358880615949,0,-0.654760755037143,2.726703751,1.52734322193408,-28.174293806782
"89",2009-08-15,0.000751842923526415,2.49386122258175,0,-0.298629986478897,1.93757382,1.25069225416704,-29.6818916341283
"90",2009-09-15,0.0949943426969038,2.19236689078193,0,-0.114061123809972,1.243472421,0.9545421113856,-31.376272748789
"91",2009-10-15,1.75896841521149,1.73948139276547,0,0.57838454091987,1.238591541,0.93827485734912,-31.634853583612
"92",2009-11-15,0.408037029988388,1.10349637784419,0,0.190126455765171,0.953567617,0.79565441716224,-32.3625261873952
"93",2009-12-15,3.26431240332936,0.77609233176082,0.00472577991946361,1.34838094161876,0.873175558,0.94295270209536,-31.2971899814602
"94",2010-01-15,5.34998680016074,0.871161642599112,0,2.54009948974479,1.87234123,2.40042673456128,-29.8865498182046
"95",2010-02-15,3.49748052321375,1.24428354440164,0,2.68555790653033,1.624842235,2.41786344978432,-31.1119319607072
"96",2010-03-15,1.5683526132814,2.18810324848436,0,0.305758992065449,1.489318554,1.83719416522752,-32.3853171992031
"97",2010-04-15,3.4430350343828,2.52890422298207,0,-1.16461708430912,2.088804636,1.8640306082304,-30.0817952757237
"98",2010-05-15,0.835328654922594,2.83706192975205,0,-1.97900235204876,3.035189699,1.89387633420288,-28.9632128337072
"99",2010-06-15,0.0211788197213451,2.83035774159627,0,-2.21392178205653,3.154797787,1.9896987543552,-28.3933709408808
"100",2010-07-15,0.00112661716613712,2.72016871999232,0,-1.37212264531818,3.010399218,1.58851484964864,-28.3184060300375
